validName	DiscoverLife_name	rNaturalEarth_name	shortName	continent	DiscoverLife_ISO	Alpha-2	iso_a3_eh	official	Source	matchCertainty	canonical	canonical_withFlags	family	subfamily	genus	subgenus	specificEpithet	species	infraspecies	scientificNameAuthorship	taxon_rank	Notes	name
1	Perdita pallidipennis Graenicher, 1910	Canada	Canada	Canada	North America	CA	CA	CAN	Yes	Alice Hughes	poor	NA	NA	Andrenidae	Panurginae	Perdita	NA	pallidipennis	Perdita pallidipennis	NA	Graenicher, 1910	NA	NA	Canada
2	Perdita pallidipennis Graenicher, 1910	United States of America	United States	USA	North America	US	US	USA	Yes	Alice Hughes	poor	NA	NA	Andrenidae	Panurginae	Perdita	NA	pallidipennis	Perdita pallidipennis	NA	Graenicher, 1910	NA	NA	United States of America
3	Bombus excellens Smith, 1879	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Bombus	NA	excellens	Bombus excellens	NA	Smith, 1879	NA	NA	Colombia
4	Bombus melaleucus Handlirsch, 1888	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Bombus	NA	melaleucus	Bombus melaleucus	NA	Handlirsch, 1888	NA	NA	Colombia
5	Bombus rubicundus Smith, 1854	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Bombus	NA	rubicundus	Bombus rubicundus	NA	Smith, 1854	NA	NA	Colombia
6	Bombus transversalis (Olivier, 1789)	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Bombus	NA	transversalis	Bombus transversalis	NA	(Olivier, 1789)	NA	NA	Colombia
7	Centris geminata Cockerell, 1914	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Centris	NA	geminata	Centris geminata	NA	Cockerell, 1914	NA	NA	Colombia
8	Centris laticincta (Spinola, 1841)	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Centris	NA	laticincta	Centris laticincta	NA	(Spinola, 1841)	NA	NA	Colombia
9	Centris obsoleta Lepeletier, 1841	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Centris	NA	obsoleta	Centris obsoleta	NA	Lepeletier, 1841	NA	NA	Colombia
10	Centris rhodoprocta Moure and Seabra, 1960	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Centris	NA	rhodoprocta	Centris rhodoprocta	NA	Moure and Seabra, 1960	NA	NA	Colombia
11	Centris smithiana Friese, 1901	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Centris	NA	smithiana	Centris smithiana	NA	Friese, 1901	NA	NA	Colombia
12	Euglossa cognata Moure, 1970	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Euglossa	NA	cognata	Euglossa cognata	NA	Moure, 1970	NA	NA	Colombia
13	Euglossa intersecta Latreille, 1817	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Euglossa	NA	intersecta	Euglossa intersecta	NA	Latreille, 1817	NA	NA	Colombia
14	Euglossa laevicincta Dressler, 1982	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Euglossa	NA	laevicincta	Euglossa laevicincta	NA	Dressler, 1982	NA	NA	Colombia
15	Eulaema peruviana (Friese, 1903)	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Eulaema	NA	peruviana	Eulaema peruviana	NA	(Friese, 1903)	NA	NA	Colombia
16	Melipona bradleyi Schwarz, 1932	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Melipona	NA	bradleyi	Melipona bradleyi	NA	Schwarz, 1932	NA	NA	Colombia
17	Melipona fuliginosa Lepeletier, 1836	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Melipona	NA	fuliginosa	Melipona fuliginosa	NA	Lepeletier, 1836	NA	NA	Colombia
18	Melipona illustris Schwarz, 1932	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Apidae	Apinae	Melipona	NA	illustris	Melipona illustris	NA	Schwarz, 1932	NA	NA	Colombia
19	Megommation insigne (Smith, 1853)	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Halictidae	Halictinae	Megommation	NA	insigne	Megommation insigne	NA	(Smith, 1853)	NA	NA	Colombia
20	Megachile brasiliensis Dalla Torre, 1896	Colombia	Colombia	Colombia	South America	CO	CO	COL	Yes	Diego A Guevara	poor	NA	NA	Megachilidae	Megachilinae	Megachile	NA	brasiliensis	Megachile brasiliensis	NA	Dalla Torre, 1896	NA	NA	Colombia
